Name	Type	DatabaseType	GUID
ProficiencyBonus	SmartAttributeDefinition	SmartAttributeDefinition	24be28aefcab9fc45925f187703f35d7
Speed	SmartAttributeDefinition	SmartAttributeDefinition	0edcde44dd051d745816bc439cced646
Strength	SmartAttributeDefinition	SmartAttributeDefinition	7f7891f8320180b48b07be2fef46adc9
Wisdom	SmartAttributeDefinition	SmartAttributeDefinition	632c5c4d66bdced418701396d96b078c
Cleric	CharacterClassDefinition	CharacterClassDefinition	ae0f550f733a7e04aa225da694b2827c
Fighter	CharacterClassDefinition	CharacterClassDefinition	5d0445b8e44872d4c900ebe861ae4b6f
Paladin	CharacterClassDefinition	CharacterClassDefinition	b2e60f3a15ee5de40a14cce2d16f02ba
Ranger	CharacterClassDefinition	CharacterClassDefinition	d4cb9ea3b00ab6a4c9d3cd07aa199f40
Rogue	CharacterClassDefinition	CharacterClassDefinition	8ae0dcdf1cf0a264c8198e0ca715eaf3
Wizard	CharacterClassDefinition	CharacterClassDefinition	a279003a65f95a64eb58fcc71463c734
DomainBattle	CharacterSubclassDefinition	CharacterSubclassDefinition	bf3c54c59b182fd4a84e5df0656c161c
DomainElementalCold	CharacterSubclassDefinition	CharacterSubclassDefinition	bcd97e6c1f22e4040be08c346b25208f
DomainElementalFire	CharacterSubclassDefinition	CharacterSubclassDefinition	b2302cd673875504fbcccdbaa1cc0e77
DomainElementalLighting	CharacterSubclassDefinition	CharacterSubclassDefinition	f74d46c89c19c074ebc39f3da0e3cc26
DomainInsight	CharacterSubclassDefinition	CharacterSubclassDefinition	e668710a965af2147933af4f1ea2d933
DomainLaw	CharacterSubclassDefinition	CharacterSubclassDefinition	199304e1664c8404aba9719a2ab53067
DomainLife	CharacterSubclassDefinition	CharacterSubclassDefinition	67493523943f9dc45bd2d33f6de4ee91
DomainOblivion	CharacterSubclassDefinition	CharacterSubclassDefinition	0f18dc91d3884e847a25e375dc8a588c
DomainSun	CharacterSubclassDefinition	CharacterSubclassDefinition	d9a0a0fa09fd2974a9760c7e070a2c20
MartialChampion	CharacterSubclassDefinition	CharacterSubclassDefinition	97fe89d5470aac54db951c4ea6e80d08
MartialMountaineer	CharacterSubclassDefinition	CharacterSubclassDefinition	97e6b322adf8ab24f850900f2c363e1f
MartialSpellblade	CharacterSubclassDefinition	CharacterSubclassDefinition	09e74bece88a0c74a97f67f542ad3046
OathOfDevotion	CharacterSubclassDefinition	CharacterSubclassDefinition	e2f392c9605b90b4a9f579cb3bf8d371
OathOfTheMotherland	CharacterSubclassDefinition	CharacterSubclassDefinition	ee980bf798b2cf84b8ad81008aacc536
OathOfTirmar	CharacterSubclassDefinition	CharacterSubclassDefinition	c14f1d650aaf1994eae74f2c6063bb63
RangerHunter	CharacterSubclassDefinition	CharacterSubclassDefinition	5b748a0a00d099742927b7e0fa0c3189
RangerMarksman	CharacterSubclassDefinition	CharacterSubclassDefinition	3ecbc377e6879974387c79eed9b6bbd4
RangerShadowTamer	CharacterSubclassDefinition	CharacterSubclassDefinition	d2f10edd7ced050418161755ee3db7a8
RoguishDarkweaver	CharacterSubclassDefinition	CharacterSubclassDefinition	925b9a2fac1dc674882aa606552c4730
RoguishShadowCaster	CharacterSubclassDefinition	CharacterSubclassDefinition	c5672e851a6615d4598b5ec32c3ff3dc
RoguishThief	CharacterSubclassDefinition	CharacterSubclassDefinition	256d5035bf3ac5740810a07115ec8e56
TraditionGreenmage	CharacterSubclassDefinition	CharacterSubclassDefinition	ca9d46f90b868fe43aaddd39c171ec5e
TraditionLoremaster	CharacterSubclassDefinition	CharacterSubclassDefinition	77b38dd008b5ec645974812a45483e60
TraditionShockArcanist	CharacterSubclassDefinition	CharacterSubclassDefinition	6f400ff2620a4c14cabd9f8fd450eee1
Dwarf	CharacterRaceDefinition	CharacterRaceDefinition	2e3395f10bfa00e4487d852ec3b20154
DwarfHill	CharacterRaceDefinition	CharacterRaceDefinition	451ad40e6513f2d46a8afef7c7345175
DwarfSnow	CharacterRaceDefinition	CharacterRaceDefinition	a826525c554ef754ca0e841c8d072749
Elf	CharacterRaceDefinition	CharacterRaceDefinition	143998b174becf84682ae849dfe9d757
ElfHigh	CharacterRaceDefinition	CharacterRaceDefinition	4e42d1b55900cff4ab62dbfbd88f9b24
ElfSylvan	CharacterRaceDefinition	CharacterRaceDefinition	1b0e27feb0a8d6944b907d5afaf28e0a
HalfElf	CharacterRaceDefinition	CharacterRaceDefinition	bf7685e7b813d8c46a7d903080d23541
Halfling	CharacterRaceDefinition	CharacterRaceDefinition	d6a9a559998c0974abd8077d7012ef84
HalflingIsland	CharacterRaceDefinition	CharacterRaceDefinition	487b212a28e81714198a6acc3472e018
HalflingMarsh	CharacterRaceDefinition	CharacterRaceDefinition	7d54ea787abc11642a15214c750157f3
Human	CharacterRaceDefinition	CharacterRaceDefinition	d844f80cc9ab3cb4d95630e35163eedd
Arun	DeityDefinition	DeityDefinition	9fe6be99f689cc94683098b128c799d8
Einar	DeityDefinition	DeityDefinition	ba8feffc3aa81ea42bbf641959d7259b
Maraike	DeityDefinition	DeityDefinition	94543509579e75f4c943de3b12f861af
Misaye	DeityDefinition	DeityDefinition	b8c053c69bbb8c642b19272d9e066cf1
Pakri	DeityDefinition	DeityDefinition	4fc11f376c1b755439fe6d9fd37fa352
Academic	CharacterBackgroundDefinition	CharacterBackgroundDefinition	ea34f686be03c334a9db065ce4ea31fa
Acolyte	CharacterBackgroundDefinition	CharacterBackgroundDefinition	cffd1c24676e7a742beae67376e661c4
Aristocrat	CharacterBackgroundDefinition	CharacterBackgroundDefinition	744e33d0ec1536644ad9ab1f940f4e34
KS_Garrad_Miles	CharacterBackgroundDefinition	CharacterBackgroundDefinition	9c0e0a6309ebbda479943f6bb321227e
KS_Ruad_Swifthand	CharacterBackgroundDefinition	CharacterBackgroundDefinition	8e1f693366771d04486ca7a36c78de90
KS_VigdisKaikonnen	CharacterBackgroundDefinition	CharacterBackgroundDefinition	82e1753ab9429a84689ae3ed4caf7cec
KS_VioletGoodcheer	CharacterBackgroundDefinition	CharacterBackgroundDefinition	1d8ef0065aa974948919000890d6581d
Lawkeeper	CharacterBackgroundDefinition	CharacterBackgroundDefinition	d2e9d45498eb56f4d91ea6c451c7b482
Lowlife	CharacterBackgroundDefinition	CharacterBackgroundDefinition	05f5b783f6a05a74a90f0aa645d10aab
Philosopher	CharacterBackgroundDefinition	CharacterBackgroundDefinition	0f2258daa7e85d342b99a5dfe17b5730
SellSword	CharacterBackgroundDefinition	CharacterBackgroundDefinition	ba16530ecc32e924b8b14e4a50ea265b
Spy	CharacterBackgroundDefinition	CharacterBackgroundDefinition	842f14f4a92d18f4a8d1d1f401f0af25
Backstory	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	bb2947dd0fb3c77469439e98a01b9b66
BeardShape	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	54b20f3b81c75c743a48eb13298909bd
BodyDecoration	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	dfb37e95573a35f41803fb881a6f8a42
EyeColor	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	f9f739b726cdfec4bb5cbf1c20c009d7
FaceShape	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	9c1f900fc95d98f42b82ff14c33e58a3
HairColor	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	54e0381c6698d9043b98b1909480480b
HairShape	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	254159fdc2b026e43a4bcf2a2dbe239d
Musculature	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	bec756acfaa58e54ab3801896511598e
Origin	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	1f2ce85f636c5954a94d99a319ae9288
Skin	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	588c0fed8b2df8243bcbac8c5cf89d58
Voice	MorphotypeCategoryDefinition	MorphotypeCategoryDefinition	171ac5619a0fec2449b4581f9a78bc3d
BeardShape_A	MorphotypeElementDefinition	MorphotypeElementDefinition	16f99f9f43361484cac5fa26fc7d3357
BeardShape_B	MorphotypeElementDefinition	MorphotypeElementDefinition	dd3176870301c534585cd80c098e11a9
BeardShape_C	MorphotypeElementDefinition	MorphotypeElementDefinition	35ca969327dc53641857156e63766775
BeardShape_D	MorphotypeElementDefinition	MorphotypeElementDefinition	7c730415e6fc96e47966056f21c2a5a9
BeardShape_None	MorphotypeElementDefinition	MorphotypeElementDefinition	1d44e1c501dc46444b566a23ec9f2bf8
EyeColorBlack	MorphotypeElementDefinition	MorphotypeElementDefinition	d57c02e70bd9c3c49a9a5ac8c4d91191
EyeColorBlue	MorphotypeElementDefinition	MorphotypeElementDefinition	57e0dcc399678a741867c1d169894313
EyeColorBrown	MorphotypeElementDefinition	MorphotypeElementDefinition	5f22ccfd642be17419785e6b158ff90a
EyeColorDefiler	MorphotypeElementDefinition	MorphotypeElementDefinition	b906fce8b5fccd24a83b6420f80bbb80
EyeColorGolden	MorphotypeElementDefinition	MorphotypeElementDefinition	cce8b7caf621f214a9ba814c7e0ff810
EyeColorGreen	MorphotypeElementDefinition	MorphotypeElementDefinition	1f3b49da71b8eb24384ed4cc68ee022e
EyeColorHazel	MorphotypeElementDefinition	MorphotypeElementDefinition	ec55bd1a62296db4cb60b88e7ecd4c17
EyeColorLavender	MorphotypeElementDefinition	MorphotypeElementDefinition	3f2a94c5f9eb1f244b07d002f8e26d74
EyeColorRed	MorphotypeElementDefinition	MorphotypeElementDefinition	3c3f5a28218c0f142bc6ba3179ad8de1
EyeColorSilver	MorphotypeElementDefinition	MorphotypeElementDefinition	0f47b609cd137844b9fa4d3c0a4ab68a
FaceAndSkinBronze	MorphotypeElementDefinition	MorphotypeElementDefinition	de4f7e70f7805304899299946d588d41
FaceAndSkinCopperish	MorphotypeElementDefinition	MorphotypeElementDefinition	c660ef963c217884eb88d47affab80cb
FaceAndSkinFair	MorphotypeElementDefinition	MorphotypeElementDefinition	9733aae6a1185eb40be9216252892ebf
FaceAndSkinObsidian	MorphotypeElementDefinition	MorphotypeElementDefinition	9c0c7ce968cd3c6449af9528fcb28129
FaceAndSkinPale	MorphotypeElementDefinition	MorphotypeElementDefinition	b6f596007c997894a902bd11377d9579
FaceAndSkinTan	MorphotypeElementDefinition	MorphotypeElementDefinition	c320c3ee9152ab34284075c292a054e3
FaceShape_A	MorphotypeElementDefinition	MorphotypeElementDefinition	4525d8d96c62d5241a0455f6af435380
FaceShape_AF_A	MorphotypeElementDefinition	MorphotypeElementDefinition	403510cb2aeeb4a418047b2898a25b21
FaceShape_AF_B	MorphotypeElementDefinition	MorphotypeElementDefinition	39e24112cc30ed046a4fd9c0898d0866
FaceShape_AF_C	MorphotypeElementDefinition	MorphotypeElementDefinition	57f91fd2dfaa384428306dc135e4b381
FaceShape_AS_A	MorphotypeElementDefinition	MorphotypeElementDefinition	703dd23c0f1951a4a8e88ee4dd4491ba
FaceShape_AS_B	MorphotypeElementDefinition	MorphotypeElementDefinition	d61dbc85c34eda94c8f227246a3441a4
FaceShape_AS_C	MorphotypeElementDefinition	MorphotypeElementDefinition	f932ca072646c6f478085a8907923041
FaceShape_B	MorphotypeElementDefinition	MorphotypeElementDefinition	b7511814957d8fd45addd6c9b1ed0f6c
FaceShape_C	MorphotypeElementDefinition	MorphotypeElementDefinition	d49cbbca1f2e0dd48b541d38f6e69e32
FaceShape_CA_A	MorphotypeElementDefinition	MorphotypeElementDefinition	05b45eb693343c0498809404ca9a6b42
FaceShape_CA_B	MorphotypeElementDefinition	MorphotypeElementDefinition	16284d340daab0642af321706b0ceeb6
FaceShape_CA_C	MorphotypeElementDefinition	MorphotypeElementDefinition	342dadd83b1034741b278e3bcc6b9f13
FaceShape_D	MorphotypeElementDefinition	MorphotypeElementDefinition	0566dfa1109b26049b4c528350e53ecb
FaceShape_HalfElf_A	MorphotypeElementDefinition	MorphotypeElementDefinition	073441b33d2e65048a9ec0962e8f9815
FaceShape_HalfElf_B	MorphotypeElementDefinition	MorphotypeElementDefinition	c92019d1bc95d164f8276790f1a5674c
FaceShape_HalfElf_C	MorphotypeElementDefinition	MorphotypeElementDefinition	e83b83fb1cc3edf4982a827cd0124d2b
FaceShape_HalfElf_D	MorphotypeElementDefinition	MorphotypeElementDefinition	e593ffce3118a8d4194143679fa4b54b
FaceShape_HalfElf_NPC_Alena	MorphotypeElementDefinition	MorphotypeElementDefinition	794527b7ba4dbd041a7721c35ec484d9
FaceShape_HalfElf_NPC_Bartender	MorphotypeElementDefinition	MorphotypeElementDefinition	ace398bd034ee824089aaa47480da045
FaceShape_HalfElf_NPC_Carran_Rightower	MorphotypeElementDefinition	MorphotypeElementDefinition	abd35b1165e639745b121adf6cc32e39
FaceShape_HalfElf_NPC_Dek	MorphotypeElementDefinition	MorphotypeElementDefinition	a65ea364f27ce93429f91fbfcea084a5
FaceShape_HalfElf_NPC_Edvan_Danantar	MorphotypeElementDefinition	MorphotypeElementDefinition	0c1b94d028c1197418cb5c52aa753467
FaceShape_HalfElf_NPC_Hugo_Requer	MorphotypeElementDefinition	MorphotypeElementDefinition	ebe8ea99cb5b46744b5e62f67cfdfa00
FaceShape_HalfElf_NPC_Karel_Martel	MorphotypeElementDefinition	MorphotypeElementDefinition	1c955f9a18b48af4c82801edab5905b2
FaceShape_HalfElf_NPC_Verissa_Ironshell	MorphotypeElementDefinition	MorphotypeElementDefinition	7d4133d389220d541be23791b357ebb5
FaceShape_NPC_Adrasteia_Epimeles_Aspis	MorphotypeElementDefinition	MorphotypeElementDefinition	f47284de377f3214582e7fa568826969
FaceShape_NPC_Aksha	MorphotypeElementDefinition	MorphotypeElementDefinition	b5cc005ec72fecb4299831876eafc288
FaceShape_NPC_Annie_Bagmordah	MorphotypeElementDefinition	MorphotypeElementDefinition	4ac0095e0c234d941b0e6d63a880db26
FaceShape_NPC_Arwin_Merton	MorphotypeElementDefinition	MorphotypeElementDefinition	164dfc81fdea95e4bb51e165c7e0ecda
FaceShape_NPC_Atima_Bladeburn	MorphotypeElementDefinition	MorphotypeElementDefinition	d27f7641769273e4da8fb401ca29f53c
FaceShape_NPC_Beric_Sunblaze	MorphotypeElementDefinition	MorphotypeElementDefinition	b7dac1738198008419783b42386aeaba
FaceShape_NPC_Beryl_Stonebeard	MorphotypeElementDefinition	MorphotypeElementDefinition	707348fc4fc0ed94eb44b61e02843ff0
FaceShape_NPC_Ceannard	MorphotypeElementDefinition	MorphotypeElementDefinition	03b0e32747e718d4ba22bbd892266067
FaceShape_NPC_Ceiwad_Silverflower	MorphotypeElementDefinition	MorphotypeElementDefinition	69f6062e8654ac54fab3cda8f4870847
FaceShape_NPC_Daliat_Sunbird	MorphotypeElementDefinition	MorphotypeElementDefinition	ad799202d6920c348bf234bb02c37234
FaceShape_NPC_Dalon_Lark	MorphotypeElementDefinition	MorphotypeElementDefinition	8e287105f4884624098ac1fed13ccd31
FaceShape_NPC_Galar_Goldentongue	MorphotypeElementDefinition	MorphotypeElementDefinition	d11ad8e337307cd4287b19df3724abe7
FaceShape_NPC_Gorim_Ironsoot	MorphotypeElementDefinition	MorphotypeElementDefinition	4ad447c4bebde644b93413b92002f11e
FaceShape_NPC_Gormdottir	MorphotypeElementDefinition	MorphotypeElementDefinition	9e6de38aaa38ba747b3b00ba2e8f38a9
FaceShape_NPC_Gromnir_Stonefist	MorphotypeElementDefinition	MorphotypeElementDefinition	3aa7bcd7432e13c46a1e7ea51b4de974
FaceShape_NPC_Halman_Summer	MorphotypeElementDefinition	MorphotypeElementDefinition	bc576dd8e1eed9b4193f4131df0e4a33
FaceShape_NPC_Heather_Merran	MorphotypeElementDefinition	MorphotypeElementDefinition	45384f248d367a64fb39e18ceba9e2bf
FaceShape_NPC_Idriel_Fair_Brow	MorphotypeElementDefinition	MorphotypeElementDefinition	7086335d4d14a7e43897b0848b60051f
FaceShape_NPC_Ilastar_Keenmind_Airgetine	MorphotypeElementDefinition	MorphotypeElementDefinition	a18c40fabb4c9bd48a2c176c0584f3b4
FaceShape_NPC_Iolair_Faisech	MorphotypeElementDefinition	MorphotypeElementDefinition	75fa6b2842fc5ac42abfa2c150e4abe8
FaceShape_NPC_Joriel_Fox_Eye	MorphotypeElementDefinition	MorphotypeElementDefinition	b6a6db82b7a269f44a3ea31ae0f7b278
FaceShape_NPC_Joris_Nikannen	MorphotypeElementDefinition	MorphotypeElementDefinition	f6cd9d416e55e444ab1d995c4ea19530
FaceShape_NPC_Kiaradth_BrightSpark	MorphotypeElementDefinition	MorphotypeElementDefinition	bb4e88a4ac0c8454e9aa885ff8ad6edf
FaceShape_NPC_Kythaela_Wildspring	MorphotypeElementDefinition	MorphotypeElementDefinition	0b9b31665e0508c44bb06acb02efa6fc
FaceShape_NPC_Leira_Kean	MorphotypeElementDefinition	MorphotypeElementDefinition	ff7d94ccf2bb15d4cab421410d38a386
FaceShape_NPC_Lena	MorphotypeElementDefinition	MorphotypeElementDefinition	e86dfb86669e6154ab0cb91a705d4c95
FaceShape_NPC_Lisbath_Townsend	MorphotypeElementDefinition	MorphotypeElementDefinition	80cde579a73044f4bb9c9a59eb418ac5
FaceShape_NPC_Lizzaria_of_Grimhold	MorphotypeElementDefinition	MorphotypeElementDefinition	14f6705ee5057084fbb846fc594cb141
FaceShape_NPC_Llygath_Steelmind	MorphotypeElementDefinition	MorphotypeElementDefinition	56477863eadac9e4ea94cdd23938e1b6
FaceShape_NPC_Maddy_Greenisle	MorphotypeElementDefinition	MorphotypeElementDefinition	6fb03e0183fc88149885465cdb5bc238
FaceShape_NPC_Mardracht	MorphotypeElementDefinition	MorphotypeElementDefinition	69f3cee4f21a49a4a93e2a83ab43f3b5
FaceShape_NPC_Medwal_Strongfire	MorphotypeElementDefinition	MorphotypeElementDefinition	eda581ddff969444ca1ce15f67a3241c
FaceShape_NPC_Mildred_Warmhearth	MorphotypeElementDefinition	MorphotypeElementDefinition	02d89642e6b177948b7ba9dd4ff2bb2d
FaceShape_NPC_Morden_Kyre	MorphotypeElementDefinition	MorphotypeElementDefinition	f63ce9f0ac7d4644cb181d981e8244ba
FaceShape_NPC_Morgan	MorphotypeElementDefinition	MorphotypeElementDefinition	de98c5795f12e5548a02c604cb743177
FaceShape_NPC_Priest_of_Arun	MorphotypeElementDefinition	MorphotypeElementDefinition	bdff7c9709bcee74aa1fe8a3143fa805
FaceShape_NPC_Priest_of_Maraike	MorphotypeElementDefinition	MorphotypeElementDefinition	b5c943eb70f2c524cbb73d4dcf119315
FaceShape_NPC_Priestess_of_Pakri	MorphotypeElementDefinition	MorphotypeElementDefinition	2fa84e6684ed4164aba6d0b2982ec867
FaceShape_NPC_Princess	MorphotypeElementDefinition	MorphotypeElementDefinition	119b0e10b3b8ffd4691d253bd75faa49
FaceShape_NPC_Razan_Holarant	MorphotypeElementDefinition	MorphotypeElementDefinition	525a694c5c1ead043ba97d0f9dcbf52d
FaceShape_NPC_Robar_Sharp	MorphotypeElementDefinition	MorphotypeElementDefinition	103b198d313756e428390c9ccbcb2c68
FaceShape_NPC_Talbut_the_Grey	MorphotypeElementDefinition	MorphotypeElementDefinition	6eb706622209d1e47b54849a3cdd39df
FaceShape_NPC_TavernGuy	MorphotypeElementDefinition	MorphotypeElementDefinition	145744242c4803543872deb4e960873b
FaceShape_NPC_TomWorker	MorphotypeElementDefinition	MorphotypeElementDefinition	6516d5175ceb0614983ac4bd6e479495
FaceShape_NPC_Wilf_Warmhearth	MorphotypeElementDefinition	MorphotypeElementDefinition	ab45b68ae78abf740a5e601457e96519
HairColorBlack	MorphotypeElementDefinition	MorphotypeElementDefinition	74c634b8e49f20f4783c227d11b80eee
HairColorBlond	MorphotypeElementDefinition	MorphotypeElementDefinition	cd1ad55fcf2607546a6ab9527e563cb0
HairColorBlue	MorphotypeElementDefinition	MorphotypeElementDefinition	52b145c3f9cdef04b88cc5defd01bb2d
HairColorBrown	MorphotypeElementDefinition	MorphotypeElementDefinition	d95f39f1beb2664428d6978aeb1f2f2b
HairColorCopper	MorphotypeElementDefinition	MorphotypeElementDefinition	ce89940d93f82cc498555820a5a89360
HairColorOlive	MorphotypeElementDefinition	MorphotypeElementDefinition	558d9967ec322384f8d1a61af09506ea
HairColorRed	MorphotypeElementDefinition	MorphotypeElementDefinition	ab091d9f008d26a4bb5db1faa5ff78e1
HairColorRose	MorphotypeElementDefinition	MorphotypeElementDefinition	2d2c5e12f94051843980aa29136a65da
HairColorSandyBrown	MorphotypeElementDefinition	MorphotypeElementDefinition	c6d155a2fc8e9b74583d4d5fbcc1dfe3
HairColorSilver	MorphotypeElementDefinition	MorphotypeElementDefinition	1b322782a3844bd49898ace7ad8e449f
HairShape_A	MorphotypeElementDefinition	MorphotypeElementDefinition	c11dcd13779c1a245b7f0804e4f5af2b
HairShape_B	MorphotypeElementDefinition	MorphotypeElementDefinition	49c0fde744833b44e8ccbac9939decdd
HairShape_C	MorphotypeElementDefinition	MorphotypeElementDefinition	f49684f614db5fe419ccf16162134671
HairShape_D	MorphotypeElementDefinition	MorphotypeElementDefinition	73230d173654fb14c8b369e2e998ccde
HairShape_E	MorphotypeElementDefinition	MorphotypeElementDefinition	bc368a4b5f2c21449b787f53056c89ac
HairShape_F	MorphotypeElementDefinition	MorphotypeElementDefinition	db21c2bbcf88e7247af1acfe8eb800ca
HairShape_G	MorphotypeElementDefinition	MorphotypeElementDefinition	ff325cc2872888b4fb814431c0550939
Musculature	MorphotypeElementDefinition	MorphotypeElementDefinition	39e7e3d7566f1f44fb625e5f65149cf1
Origin_AF	MorphotypeElementDefinition	MorphotypeElementDefinition	56a9fd869f5dbed4ab0c8ac4e4a7668e
Origin_AS	MorphotypeElementDefinition	MorphotypeElementDefinition	7b7a51ed3f98c8a4faa77045bae2f22b
Origin_CA	MorphotypeElementDefinition	MorphotypeElementDefinition	b94d97cfc177bef489a24b3ee061dc7e
Origin_NonHuman	MorphotypeElementDefinition	MorphotypeElementDefinition	d4fb19ecace53634e9ad4a5f67a89e46
ChaoticEvil	AlignmentDefinition	AlignmentDefinition	3fe6a1d3a9113ef4babe77d7ff993b06
ChaoticGood	AlignmentDefinition	AlignmentDefinition	f133bc484d83dde4aaa04e871a0b5820
ChaoticNeutral	AlignmentDefinition	AlignmentDefinition	7877c17b67f56a54e985f102835cfa52
LawfulEvil	AlignmentDefinition	AlignmentDefinition	9ba8e4f3454946d4597312ee3b1e8bf4
LawfulGood	AlignmentDefinition	AlignmentDefinition	75bd64b529c2c05448444ffe373d9c5d
LawfulNeutral	AlignmentDefinition	AlignmentDefinition	bc4fb81603954c749bf9097fc5eece3a
Neutral	AlignmentDefinition	AlignmentDefinition	2c39b454133915a4e840349fb04b1522
NeutralEvil	AlignmentDefinition	AlignmentDefinition	dd9104b19f0fcff4a89aefb46d8f213d
NeutralGood	AlignmentDefinition	AlignmentDefinition	cc1a07d26874b7a48a9e0b6b7f92ed5c
Unaligned	AlignmentDefinition	AlignmentDefinition	129a46d7b43e74f4c915c74d8b4ce6cb
DamageAcid	DamageDefinition	DamageDefinition	974a8f2a66efb904680ce4197d09d685
DamageBludgeoning	DamageDefinition	DamageDefinition	45eacd0abe3583a4ea272270066b35fb
DamageCold	DamageDefinition	DamageDefinition	a7cec55bcf9138b41927d6220c895482
DamageFire	DamageDefinition	DamageDefinition	528e9301f77c08d4085c83e8f963f66d
DamageForce	DamageDefinition	DamageDefinition	5a885fb1e1f05844892f6d36dd4bbe03
DamageLightning	DamageDefinition	DamageDefinition	5489048e6c5124d42a5b586e9f762beb
DamageNecrotic	DamageDefinition	DamageDefinition	f58f24b2c5c9ffa49af459ee22e78dc5
DamagePiercing	DamageDefinition	DamageDefinition	3d8cc71537f06114e84b796aea4186c7
DamagePoison	DamageDefinition	DamageDefinition	c64fbbe82376ad846b4c271f8fdeead6
DamagePsychic	DamageDefinition	DamageDefinition	25610bd1e25fd7340b940aad2a43177e
DamageRadiant	DamageDefinition	DamageDefinition	5154dea9cd5670c4f9700ead4086d511
DamageSlashing	DamageDefinition	DamageDefinition	dbccb331ba6b1574e9bf32ae17c3fac1
DamageThunder	DamageDefinition	DamageDefinition	ea3c80a828194b14997f55db1792aea8
ConditionAcidArrowed	ConditionDefinition	ConditionDefinition	14eb14d677a567f419663dc4d33e6895
ConditionActingCunningly	ConditionDefinition	ConditionDefinition	bd09a467444b8564ebdddb4926b7e0d4
ConditionActingCunninglyFastHands	ConditionDefinition	ConditionDefinition	381cb3c6164082e4d8d811d14fa6fc19
ConditionAided	ConditionDefinition	ConditionDefinition	0f3ca4961d9ecec4bb9ed8933a1bc4d4
ConditionAnnoyedByBee	ConditionDefinition	ConditionDefinition	d40a359e8ff6a1a44ae395249136ca2b
ConditionAntitoxin	ConditionDefinition	ConditionDefinition	b4be67eb83ed8e442ad01f8ee3f7854d
ConditionAsleep	ConditionDefinition	ConditionDefinition	2ece6f42f971b5746b8478ca7b2c164e
ConditionAuraOfCourage	ConditionDefinition	ConditionDefinition	26344c0379e31364bb805bb27a885c10
ConditionAuraOfProtection	ConditionDefinition	ConditionDefinition	ad5fe4bb560fde04989c0085fb01a17a
ConditionBackFromTheDead	ConditionDefinition	ConditionDefinition	74a5e5af88a2fbf4dbc1324c88b614aa
ConditionBackFromTheDead1	ConditionDefinition	ConditionDefinition	86c442f5407233c46925c3c43a4476ed
ConditionBackFromTheDead2	ConditionDefinition	ConditionDefinition	91cb2f9415267b143acd99ea2e2f868c
ConditionBackFromTheDead3	ConditionDefinition	ConditionDefinition	325b296b4ccf448459e256899a720bba
